,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26
Product_Category_Fun,-0.037556090995670734,-0.015972424861860693,-0.01586861400872093,-0.06434861443629555,-0.012388677764781012,0.013053364155506798,-0.008399613056517102,0.02180535536854934,-0.03430182844428992,0.01975145692720181,-0.06423559511568935,0.01677343958885395,0.018276858514759103,-0.06568780202336186,-0.0356748045120542,0.027514563468333558,0.08303898496057308,0.005589507272220151,-0.17560005066314593,0.1033239116336727,-0.06963845204096447,-0.06969526041804742,0.03390061451738301,0.3553838242796259,-0.4764543679798681,-0.3302343016318235
Product_Category_Gift Cards,0.02304190917439903,0.01346421483147154,0.03658081692831228,-0.06031786208412942,-0.01455769019237227,0.0596175447725511,0.003180838453291268,-0.10540259213093892,0.1397174147809052,0.016983755547894264,0.3243133632985036,0.042257510878892034,0.06322974341954253,0.021562684500907134,-0.12110643511508042,0.1814137517419644,-0.12519235942107082,0.006958349956069918,-0.03983131952010672,0.0634010305642134,0.06639201629027841,-0.357152570964689,0.25519163050054017,-0.09519114478007455,-0.16018199132217695,-0.044276046442533926
Product_Category_Google,-0.04915196171214854,0.011535544122236889,-0.021746965710068296,-0.03446213680341356,-0.0347255128902494,-0.00034187108400065647,-0.04781521018914016,0.012283841748297619,-0.002609607514841314,-0.009076781996108396,-0.020155183566251064,0.10887041940410343,0.011717572438381368,0.0029867001152744394,-0.025186990588840157,0.07979335671221595,-0.060508842647843536,-0.062221415738799954,-0.11743372116341341,0.026461229979905188,-0.10381776216908137,0.36970373454070216,0.10585636646187037,0.08563849294611835,-0.1601291400975942,0.530334045357163
Product_Category_Headgear,-0.029833227939936043,-0.01916793198904623,-0.036229363854191364,-0.004987458515381824,0.021721147388992456,-0.006018540599397752,-0.004729588178374744,0.0924570582187596,-0.0002880976336576676,0.05438776844647689,-0.006450107044239021,-0.0010554074780707798,0.0002760165152690758,-0.12427960877200078,0.031125849532052195,-0.02913857059137588,0.3510619143790477,-0.18274688758546329,0.28357866405842064,0.37001287817523126,-0.40239041881529314,-0.3140387839206236,-0.14991694467510866,-0.1943267762693285,-0.2356207287160131,0.15168238785728114
Product_Category_Housewares,-0.026083133601002652,-0.0234867005335638,-0.03729938665908088,-0.0022966807138994384,-0.05081634446464682,0.013991423109157769,-0.013060356361191409,0.10503454688366026,-0.01980454005687563,-0.007038325365083997,-0.008219243951698171,-0.01024866675035544,-0.1437162074253053,0.00994186277614543,-0.00020076594419979652,-0.01908781235537363,-0.01930370355512034,-0.06429229100752686,-0.15828436519097333,-0.04136220082045511,0.06272721574674332,-0.27705534168868395,-0.3735836233906828,0.4551979997732772,0.07277783277193352,0.25647601010712595
Product_Category_Lifestyle,-0.04881239817804378,-0.10251996524613595,-0.15595174367195197,-0.03597031153460746,-0.1587136935791755,0.01854740646466888,0.029406964464580763,0.07826598554112989,-0.17448894941837723,0.07810471821948001,0.23452448519181945,-0.19451816352331378,0.29802055043691084,-0.1440110407128809,0.11108998130277314,0.20050327612256674,0.20149372968287227,-0.5395294286996207,-0.09595684242463164,-0.44760921768877654,-0.029195048052488494,0.12398461830373428,-0.1650335046163639,0.0019716860750619097,0.00798316105561444,-0.07836726666364582
Product_Category_More Bags,-0.037208235235320145,0.01575343296882345,-0.005439581088815201,-0.021777840029444853,-0.003247130420342598,-0.0017027600527354365,0.027700164168943858,-0.05978785161892453,0.05931849362871878,-0.05455257666027333,0.012776131117447936,0.055301069387018294,-0.023895138375857203,-0.0045475526935951525,0.14278347934873045,-0.13975995543952352,0.0699614410023318,-0.11361163776726128,-0.1325797408471308,-0.10755735339758976,0.06376862578815229,-0.19879041185088275,0.11353849247869792,-0.04530103972403708,-0.2200491641576381,-0.09787102527757878
Product_Category_Nest,0.3586344415251934,0.12251776726253132,0.21191047630502402,0.003575264412621695,-0.13798564089180418,-0.015556312405995868,-0.006996294964722709,-0.1995511888464914,0.021413070675460912,-0.23875076293058725,-0.10559075264478619,0.38421129144305416,0.16498140865481156,0.14131237515730638,0.13500670594881076,0.005867474565223047,-0.1512862505787834,-0.2130337173301545,0.007893692430150165,0.04131560193223297,-0.2452566832310696,0.02960302482517982,-0.04123949028141537,0.10764622550829679,-0.14984682464450078,0.019938678899142227
Product_Category_Nest-Canada,0.0011824906650851627,0.061056715399071336,0.08411496265355334,0.0069664513821727884,-0.018168581913048383,0.01062422370383624,-0.014603984286848367,0.017576442591817586,-0.0051562987491844915,0.017688206931836942,0.017839601115319608,0.09419697687750579,0.015562901041717887,0.05941518626863766,0.12672516861101427,0.14143753353444025,-0.22938144287755374,-0.07360625760551759,-0.21854347551443531,0.17669997320009478,-0.3912562354240611,-0.22593791450721196,-0.13199628797945281,0.0504927229726152,0.5175598804199272,-0.2843255659739083
Product_Category_Nest-USA,0.08666958826786066,0.43938093237800424,0.6903008478869918,0.02060664673887762,-0.11865356330782467,-0.018921965995552688,0.005325305557447599,0.21153322866790383,-0.02577651230814828,0.15247872480567962,0.04361150827268378,-0.24422244513365657,-0.12393748243811196,-0.0928775602453841,-0.10552955821729673,-0.0838953478163739,0.01209860218679951,0.1349013193859229,0.03167950420327965,-0.13338171254471715,0.16955531869520227,0.034064149368149686,0.030846705341671,-0.03518906700229325,0.002014798692931535,0.021596969094867517
Product_Category_Notebooks & Journals,-0.051774791819731006,-0.050649287330550054,-0.08235914043312503,-0.027513008461504545,-0.10034114122539253,-0.0017038062529022547,0.007940087240715318,0.31026303774556113,-0.10588477448425797,-0.004229648089047897,-0.0317832341872843,0.06205936167345379,-0.11576266576661569,-0.060505348324518336,-0.0751886547288547,-0.1862054955934062,-0.3355015181049997,-0.17392379845873238,-0.19237949232023627,0.13348914598105274,-0.1693974058077565,0.1703843623193182,0.3440326034856827,-0.13749039144299638,-0.13706507392925588,-0.16305724710777844
